QUALITY_SERVICE,ORG_CODE,ACH_DATE,IND_CODE,POINTS,APPROVED
QOF2223,A10001,20230331,AF001,,Approved
QOF2223,A10001,20230331,AF006,,Approved
QOF2223,A10001,20230331,AF007,,Approved
QOF2223,A10001,20230331,AST005,,Approved
QOF2223,A10001,20230331,AST006,,Approved
QOF2223,A10001,20230331,AST007,,Approved
QOF2223,A10001,20230331,AST008,,Approved
QOF2223,A10001,20230331,BP002,,Approved
QOF2223,A10001,20230331,CAN001,,Approved
QOF2223,A10001,20230331,CAN004,,Approved
QOF2223,A10001,20230331,CAN005,,Approved
QOF2223,A10001,20230331,CHD001,,Approved
QOF2223,A10001,20230331,CHD005,,Approved
QOF2223,A10001,20230331,CHD008,,Approved
QOF2223,A10001,20230331,CHD009,,Approved
QOF2223,A10001,20230331,CKD005,,Approved
QOF2223,A10001,20230331,COPD008,,Approved
QOF2223,A10001,20230331,COPD009,,Approved
QOF2223,A10001,20230331,COPD009MI1,,Approved
QOF2223,A10001,20230331,COPD009MI2,,Approved
QOF2223,A10001,20230331,COPD009MI3,,Approved
QOF2223,A10001,20230331,COPD010,,Approved
QOF2223,A10001,20230331,CS005,,Approved
QOF2223,A10001,20230331,CS006,,Approved
QOF2223,A10001,20230331,DEM001,,Approved
QOF2223,A10001,20230331,DEM004,,Approved
QOF2223,A10001,20230331,DEP003,,Approved
QOF2223,A10001,20230331,DM006,,Approved
QOF2223,A10001,20230331,DM012,,Approved
QOF2223,A10001,20230331,DM014,,Approved
QOF2223,A10001,20230331,DM017,,Approved
QOF2223,A10001,20230331,DM019,,Approved
QOF2223,A10001,20230331,DM020,,Approved
QOF2223,A10001,20230331,DM021,,Approved
QOF2223,A10001,20230331,DM022,,Approved
QOF2223,A10001,20230331,DM023,,Approved
QOF2223,A10001,20230331,EP001,,Approved
QOF2223,A10001,20230331,HF001,,Approved
QOF2223,A10001,20230331,HF003,,Approved
QOF2223,A10001,20230331,HF005,,Approved
QOF2223,A10001,20230331,HF006,,Approved
QOF2223,A10001,20230331,HF007,,Approved
QOF2223,A10001,20230331,HYP001,,Approved
QOF2223,A10001,20230331,HYP003,,Approved
QOF2223,A10001,20230331,HYP007,,Approved
QOF2223,A10001,20230331,LD004,,Approved
QOF2223,A10001,20230331,MH001,,Approved
QOF2223,A10001,20230331,MH002,,Approved
QOF2223,A10001,20230331,MH003,,Approved
QOF2223,A10001,20230331,MH006,,Approved
QOF2223,A10001,20230331,MH007,,Approved
QOF2223,A10001,20230331,MH011,,Approved
QOF2223,A10001,20230331,MH012,,Approved
QOF2223,A10001,20230331,NDH001,,Approved
QOF2223,A10001,20230331,OB002,,Approved
QOF2223,A10001,20230331,OST004,,Approved
QOF2223,A10001,20230331,PAD001,,Approved
QOF2223,A10001,20230331,PC001,,Approved
QOF2223,A10001,20230331,QIOA011,,Approved
QOF2223,A10001,20230331,QIOA012,,Approved
QOF2223,A10001,20230331,QIPDD009,,Approved
QOF2223,A10001,20230331,QIPDD010,,Approved
QOF2223,A10001,20230331,QIPDDMI001,,Approved
QOF2223,A10001,20230331,QIPDDMI002,,Approved
QOF2223,A10001,20230331,QIPDDMI003,,Approved
QOF2223,A10001,20230331,QIPDDMI004,,Approved
QOF2223,A10001,20230331,RA001,,Approved
QOF2223,A10001,20230331,RA002,,Approved
QOF2223,A10001,20230331,SMOK002,,Approved
QOF2223,A10001,20230331,SMOK004,,Approved
QOF2223,A10001,20230331,SMOK005,,Approved
QOF2223,A10001,20230331,STIA001,,Approved
QOF2223,A10001,20230331,STIA007,,Approved
QOF2223,A10001,20230331,STIA010,,Approved
QOF2223,A10001,20230331,STIA011,,Approved
QOF2223,A10001,20230331,VI001,,Approved
QOF2223,A10001,20230331,VI002,,Approved
QOF2223,A10001,20230331,VI003,,Approved
QOF2223,A10001,20230331,VI004,,Approved
