PRACTICE_CODE,INDICATOR_CODE,MEASURE,VALUE
A10001,MH012,ACHIEVED_POINTS,
A10001,NDH001,REGISTER,
A10001,NDH001,NUMERATOR,
A10001,NDH001,DENOMINATOR,
A10001,NDH001,PCAS,
A10001,NDH001,ACHIEVED_POINTS,
A10001,OB002,REGISTER,
A10001,OB002,ACHIEVED_POINTS,
A10001,OST004,REGISTER,
A10001,OST004,ACHIEVED_POINTS,
A10001,PAD001,REGISTER,
A10001,PAD001,ACHIEVED_POINTS,
A10001,PC001,REGISTER,
A10001,PC001,ACHIEVED_POINTS,
A10001,QIOA011,ACHIEVED_POINTS,
A10001,QIOA012,ACHIEVED_POINTS,
A10001,QIPDD009,ACHIEVED_POINTS,
A10001,QIPDD010,ACHIEVED_POINTS,
A10001,QIPDDMI001,NUMERATOR,
A10001,QIPDDMI001,DENOMINATOR,
A10001,QIPDDMI001,ACHIEVED_POINTS,
A10001,QIPDDMI002,NUMERATOR,
A10001,QIPDDMI002,DENOMINATOR,
A10001,QIPDDMI002,ACHIEVED_POINTS,
A10001,QIPDDMI003,NUMERATOR,
A10001,QIPDDMI003,DENOMINATOR,
A10001,QIPDDMI003,ACHIEVED_POINTS,
A10001,QIPDDMI004,NUMERATOR,
A10001,QIPDDMI004,DENOMINATOR,
A10001,QIPDDMI004,PCAS,
A10001,QIPDDMI004,ACHIEVED_POINTS,
A10001,RA001,REGISTER,
A10001,RA001,ACHIEVED_POINTS,
A10001,RA002,NUMERATOR,
A10001,RA002,DENOMINATOR,
A10001,RA002,PCAS,
A10001,RA002,ACHIEVED_POINTS,
A10001,SMOK002,NUMERATOR,
A10001,SMOK002,DENOMINATOR,
A10001,SMOK002,PCAS,
A10001,SMOK002,ACHIEVED_POINTS,
A10001,SMOK004,NUMERATOR,
A10001,SMOK004,DENOMINATOR,
A10001,SMOK004,PCAS,
A10001,SMOK004,ACHIEVED_POINTS,
A10001,SMOK005,NUMERATOR,
A10001,SMOK005,DENOMINATOR,
A10001,SMOK005,PCAS,
A10001,SMOK005,ACHIEVED_POINTS,
A10001,STIA001,REGISTER,
A10001,STIA001,ACHIEVED_POINTS,
A10001,STIA007,NUMERATOR,
A10001,STIA007,DENOMINATOR,
A10001,STIA007,PCAS,
A10001,STIA007,ACHIEVED_POINTS,
A10001,STIA010,NUMERATOR,
A10001,STIA010,DENOMINATOR,
A10001,STIA010,PCAS,
